TIME,I_pu39,I_pu31,I_pu38,I_pu37,I_pu36,I_pu35,I_pu30,I_pu34,I_pu33,I_pu
2.9,0.633898,0.650507,0.614954,0.623027,0.624072,0.647829,0.69696,0.682619,0.65683,0.671309
2.9002,0.633445,0.649935,0.614316,0.62221,0.624877,0.647733,0.696704,0.682479,0.656553,0.671294
2.9004,0.634248,0.649679,0.613322,0.621631,0.626147,0.646759,0.696457,0.682576,0.656103,0.671668
2.9006,0.635519,0.649879,0.61239,0.621646,0.627094,0.645008,0.696051,0.68289,0.655789,0.67196
2.9008,0.636519,0.650087,0.612047,0.622816,0.627451,0.643284,0.696443,0.682995,0.655958,0.671717
2.901,0.636743,0.649849,0.612265,0.624293,0.627271,0.642234,0.697055,0.682895,0.65651,0.670775
2.9012,0.636172,0.648934,0.612756,0.625002,0.626722,0.641933,0.696448,0.682403,0.656942,0.669504
2.9014,0.635115,0.647441,0.613072,0.624639,0.626178,0.641999,0.69592,0.681689,0.657474,0.66854
2.9016,0.634415,0.646289,0.612985,0.623393,0.626286,0.641962,0.696055,0.681522,0.657838,0.66826
2.9018,0.634186,0.645729,0.612608,0.622689,0.626856,0.641554,0.696252,0.681972,0.657597,0.66864
2.902,0.635163,0.645804,0.61226,0.623396,0.628094,0.640901,0.695795,0.682517,0.657383,0.669326
2.9022,0.63659,0.646053,0.612194,0.624865,0.629383,0.640395,0.694847,0.683344,0.657411,0.669793
2.9024,0.638019,0.645705,0.612456,0.626192,0.629895,0.640347,0.693786,0.684024,0.658161,0.669899
2.9026,0.638933,0.644727,0.612963,0.626156,0.629578,0.640794,0.69347,0.683661,0.65948,0.669789
2.9028,0.63861,0.643514,0.613313,0.625268,0.628675,0.641583,0.694488,0.682516,0.660463,0.669718
2.903,0.63754,0.642313,0.613726,0.624315,0.628014,0.641964,0.695789,0.681636,0.660591,0.669773
2.9032,0.63646,0.641012,0.614442,0.6238,0.628113,0.641827,0.695749,0.681669,0.660511,0.670087
2.9034,0.636476,0.639822,0.615252,0.623716,0.628704,0.641788,0.695605,0.682336,0.660521,0.670765
2.9036,0.637342,0.639091,0.615761,0.623953,0.628999,0.642033,0.695475,0.68244,0.660519,0.671661
2.9038,0.638565,0.639007,0.615845,0.624377,0.628451,0.642297,0.694882,0.681585,0.660847,0.672213
2.904,0.6391,0.639141,0.615568,0.624645,0.627999,0.642414,0.694741,0.68051,0.661111,0.672072
2.9042,0.638226,0.638925,0.615284,0.624687,0.627926,0.642255,0.695084,0.680287,0.661673,0.671808
2.9044,0.637167,0.638271,0.615566,0.624523,0.628451,0.641898,0.694915,0.680768,0.66278,0.672157
2.9046,0.636882,0.637526,0.616616,0.624277,0.62964,0.64169,0.695024,0.681194,0.663802,0.672929
2.9048,0.637667,0.637185,0.617855,0.624332,0.6306,0.641975,0.695459,0.680894,0.664902,0.673904
2.905,0.638898,0.637322,0.618628,0.624612,0.630638,0.642716,0.695307,0.680117,0.666058,0.674714
2.9052,0.639647,0.637903,0.618614,0.625321,0.630429,0.643613,0.695223,0.679108,0.667013,0.675137
2.9054,0.639275,0.638632,0.617776,0.625749,0.630438,0.644325,0.694405,0.678488,0.667763,0.675364
2.9056,0.638868,0.639135,0.616871,0.625523,0.630495,0.644522,0.693516,0.678908,0.668136,0.675782
2.9058,0.638996,0.639114,0.616984,0.624796,0.630532,0.644131,0.693665,0.679812,0.667773,0.676281
2.906,0.639468,0.638692,0.618463,0.624289,0.630433,0.64378,0.693778,0.680611,0.666783,0.676837
2.9062,0.640475,0.638687,0.620348,0.625096,0.63014,0.644029,0.693755,0.6807,0.665576,0.676998
2.9064,0.641062,0.639615,0.621208,0.626659,0.629704,0.644513,0.692821,0.679677,0.664543,0.676761
2.9066,0.640543,0.640915,0.620426,0.627812,0.629975,0.644548,0.690923,0.678541,0.664389,0.676642
2.9068,0.639432,0.641772,0.618591,0.6277,0.631163,0.643966,0.689774,0.678799,0.664596,0.676763
2.907,0.638514,0.641729,0.616802,0.626428,0.632794,0.642769,0.69072,0.680548,0.665893,0.676758
2.9072,0.638019,0.641146,0.616445,0.625206,0.633819,0.641408,0.69201,0.682457,0.667484,0.676582
2.9074,0.638104,0.640831,0.617656,0.625585,0.633588,0.640582,0.691998,0.683383,0.667585,0.675803
2.9076,0.638607,0.64151,0.620043,0.627143,0.632426,0.640658,0.691715,0.683243,0.666198,0.674596
2.9078,0.639109,0.643305,0.622519,0.628611,0.631281,0.641585,0.691301,0.682826,0.664101,0.673232
2.908,0.639254,0.645925,0.623138,0.628738,0.631355,0.642001,0.691745,0.682543,0.66261,0.672336
2.9082,0.639,0.648195,0.621413,0.627661,0.632612,0.641151,0.693299,0.682783,0.663907,0.6718
2.9084,0.638817,0.649091,0.618608,0.626634,0.634578,0.639294,0.694863,0.683595,0.666602,0.671635
2.9086,0.639573,0.648733,0.616427,0.626088,0.636132,0.637243,0.695414,0.684402,0.668002,0.672532
2.9088,0.640869,0.647957,0.615873,0.625844,0.636318,0.636029,0.695762,0.684968,0.668206,0.67372
2.909,0.641506,0.648075,0.616894,0.626045,0.635419,0.635905,0.696733,0.68442,0.667407,0.673861
2.9092,0.640626,0.649661,0.61842,0.626643,0.63413,0.636298,0.697113,0.683263,0.665841,0.672581
2.9094,0.638504,0.651826,0.619182,0.627138,0.63334,0.636507,0.696736,0.682498,0.665002,0.670935
2.9096,0.636059,0.653146,0.618766,0.627138,0.633435,0.636121,0.696512,0.682727,0.666324,0.669842
2.9098,0.634504,0.653143,0.617798,0.626712,0.634901,0.635216,0.696273,0.683287,0.668541,0.669961
2.91,0.634392,0.652627,0.617046,0.626173,0.636797,0.634114,0.696173,0.683559,0.670156,0.671539
2.9102,0.635395,0.652495,0.61697,0.62583,0.638207,0.633323,0.695954,0.68382,0.670105,0.673696
2.9104,0.636175,0.653008,0.617588,0.625917,0.638606,0.633189,0.696849,0.684247,0.668534,0.674854
2.9106,0.635421,0.654034,0.618405,0.626236,0.63755,0.633672,0.698162,0.683999,0.666863,0.67482
2.9108,0.63322,0.655453,0.618751,0.626374,0.635484,0.634442,0.698681,0.68337,0.666147,0.674424
2.911,0.630663,0.65676,0.618446,0.625827,0.63432,0.635171,0.699323,0.683772,0.666553,0.674194
2.9112,0.628862,0.657677,0.618759,0.625053,0.635048,0.635345,0.700079,0.685852,0.667775,0.674309
